Prec [mm],ET [mm/h],T [C],Q [m3/s],LAT [C]
0,0.047541667,11.16,1.396,11.63065417
0,0.047541667,10.92,1.30975,11.63065417
0,0.047541667,11.01,1.23925,11.63065417
0,0.047541667,11.28,1.18,11.63065417
0,0.047541667,11.54,1.12175,11.63065417
0,0.047541667,12.72,1.0665,11.63065417
0,0.047541667,12.59,1.017,11.63065417
0,0.063208333,12.27,0.96625,11.63065417
0,0.063208333,12.64,0.92475,11.63065417
0,0.063208333,12.83,0.8905,11.63065417
0,0.063208333,13.56,0.8565,11.63065417
0,0.063208333,13.41,0.82725,11.63065417
0,0.063208333,14.29,0.79825,11.63065417
0,0.063208333,13.86,0.772,11.63065417
0,0.063208333,13.17,0.742,11.63065417
0,0.063208333,12.2,0.714,11.63065417
0,0.063208333,11.11,0.69225,11.63065417
0,0.063208333,9.27,0.673,11.63065417
0,0.063208333,8.87,0.6555,11.63065417
0,0.063208333,9.4,0.64,11.63065417
0,0.047541667,9.09,0.625,11.63065417
0,0.047541667,10.15,0.61,11.63065417
0,0.047541667,5.558,0.5955,11.63065417
0,0.047541667,6.194,0.5805,11.63065417
0,0.047833333,6.004,0.56975,11.63065417
0,0.047833333,6.013,0.5585,11.63065417
0,0.047833333,4.757,0.54625,11.63065417
0,0.047833333,5.07,0.534,11.63065417
0,0.047833333,6.643,0.521,11.63065417
0,0.047833333,9.73,0.51025,11.63065417
0,0.047833333,11.21,0.5015,11.63065417
0,0.047541667,10.99,0.495,11.63065417
0,0.047541667,12.45,0.48675,11.63065417
0,0.047541667,13.15,0.478,11.63065417
0,0.047541667,13.92,0.47275,11.63065417
0,0.047541667,14.02,0.471,11.63065417
0,0.047541667,13.56,0.46575,11.63065417
0,0.047541667,13.32,0.47625,11.63065417
0,0.047541667,12.96,0.4815,11.63065417
0,0.047541667,11.89,0.46425,11.63065417
0,0.047541667,11.87,0.444,11.63065417
0,0.047541667,11.06,0.434,11.63065417
0,0.047541667,11.33,0.431,11.63065417
0,0.047541667,10.72,0.431,11.63065417
0,0.047833333,10.72,0.431,11.63065417
0,0.047833333,7.45,0.42575,11.63065417
0,0.047833333,9.71,0.424,11.63065417
0,0.047833333,9.34,0.418,11.63065417
0,0.076,8.17,0.41625,11.63065417
0,0.076,9.35,0.411,11.63065417
0,0.076,9.41,0.408,11.63065417
0,0.076,9.25,0.405,11.63065417
0,0.076,8.42,0.398,11.63065417
0,0.076,11.7,0.395,11.63065417
0,0.076,12.29,0.39025,11.63065417
0,0.047833333,14.92,0.385,11.63065417
0,0.047833333,14.32,0.3835,11.63065417
0,0.047833333,16.38,0.379,11.63065417
0,0.047833333,15.49,0.3745,11.63065417
0,0.047833333,15.44,0.373,11.63065417
0,0.047833333,16.56,0.367,11.63065417
0,0.047833333,14.55,0.367,11.63065417
0,0.047833333,13.81,0.367,11.63065417
0,0.047833333,10.93,0.36175,11.63065417
0,0.047833333,9.08,0.36,11.63065417
0,0.047833333,7.62,0.36,11.63065417
0,0.047833333,7.09,0.36,11.63065417
0,0.047833333,7.73,0.36,11.63065417
0,0.076,8.25,0.3585,11.63065417
0,0.076,7.05,0.36,11.63065417
0,0.076,7.11,0.357,11.63065417
0,0.076,7.9,0.354,11.63065417
0,0.054833333,7.97,0.354,11.63065417
0,0.054833333,7.88,0.354,11.63065417
0,0.054833333,7.12,0.357,11.63065417
0,0.054833333,7.57,0.36,11.63065417
0,0.054833333,9.74,0.36,11.63065417
0,0.054833333,9.95,0.36,11.63065417
0,0.054833333,12.22,0.36,11.63065417
0,0.076,13.07,0.348,11.63065417
0,0.076,14.55,0.342,11.63065417
0,0.076,14.9,0.3405,11.63065417
0,0.076,14.96,0.336,11.63065417
0,0.076,15.4,0.336,11.63065417
0,0.076,15.2,0.35575,11.63065417
0,0.076,14.96,0.3835,11.63065417
0,0.076,14.74,0.36975,11.63065417
0,0.076,12.91,0.3405,11.63065417
0,0.076,9.23,0.318,11.63065417
0,0.076,8.61,0.303,11.63065417
0,0.076,8.94,0.29875,11.63065417
0,0.076,8.81,0.3015,11.63065417
0,0.054833333,8.09,0.312,11.63065417
0,0.054833333,9.24,0.318,11.63065417
0,0.054833333,6.461,0.324,11.63065417
0,0.054833333,6.247,0.324,11.63065417
0,0.085875,6.078,0.324,11.63065417
0,0.085875,4.756,0.324,11.63065417
0,0.085875,6.192,0.324,11.63065417
0,0.085875,5.857,0.321,11.63065417
0,0.085875,7.79,0.318,11.63065417
0,0.085875,10.4,0.318,11.63065417
0,0.085875,12.84,0.3135,11.63065417
0,0.054833333,15.39,0.312,11.63065417
0,0.054833333,16.43,0.309,11.63065417
0,0.054833333,16.31,0.306,11.63065417
0,0.054833333,16.65,0.306,11.63065417
0,0.054833333,16.86,0.3015,11.63065417
0,0.054833333,15.85,0.3,11.63065417
0,0.054833333,15.21,0.3,11.63065417
0,0.054833333,14.99,0.3,11.63065417
0,0.054833333,12.89,0.3,11.63065417
0,0.054833333,9.65,0.3,11.63065417
0,0.054833333,9.27,0.3,11.63065417
0,0.054833333,9.62,0.29625,11.63065417
0,0.054833333,10.21,0.295,11.63065417
0,0.085875,9.43,0.295,11.63065417
0,0.085875,15.27,0.295,11.63065417
0,0.085875,9.47,0.295,11.63065417
0,0.085875,9.25,0.295,11.63065417
0,0.091916667,8.37,0.295,11.63065417
0,0.091916667,9.68,0.295,11.63065417
0,0.091916667,10.2,0.295,11.63065417
0,0.091916667,11.05,0.295,11.63065417
0,0.091916667,12.08,0.292,11.63065417
0,0.091916667,13.34,0.2905,11.63065417
0,0.091916667,15.46,0.289,11.63065417
0,0.085875,17.23,0.289,11.63065417
0,0.085875,18.94,0.286,11.63065417
0,0.085875,20.04,0.286,11.63065417
0,0.085875,19.74,0.283,11.63065417
0,0.085875,18.71,0.283,11.63065417
0,0.085875,18.58,0.2815,11.63065417
0,0.085875,17.62,0.277,11.63065417
0,0.085875,17.1,0.2785,11.63065417
0,0.085875,16.12,0.283,11.63065417
0,0.085875,15.48,0.283,11.63065417
0,0.085875,15.32,0.283,11.63065417
0,0.085875,15.22,0.283,11.63065417
0,0.085875,15.37,0.283,11.63065417
0,0.091916667,15.06,0.283,11.63065417
0,0.091916667,12.62,0.283,11.63065417
0.953,0.091916667,15.18,0.283,11.63065417
0.007,0.091916667,14.33,0.283,11.63065417
0.433,0.015,14.17,0.283,11.63065417
0.16,0.015,14.52,0.283,11.63065417
0,0.015,14.92,0.2845,11.63065417
0,0.015,14.97,0.283,11.63065417
0.227,0.015,14.74,0.283,11.63065417
0,0.015,15.09,0.283,11.63065417
0,0.015,15.82,0.283,11.63065417
0,0.091916667,16.11,0.283,11.63065417
0.826,0.091916667,15.95,0.283,11.63065417
0.3,0.091916667,15.74,0.283,11.63065417
0.274,0.091916667,15.35,0.289,11.63065417
0.953,0.091916667,14.73,0.2935,11.63065417
0.393,0.091916667,14.03,0.295,11.63065417
0.033,0.091916667,14.04,0.29875,11.63065417
0.127,0.091916667,13.87,0.303,11.63065417
0.033,0.091916667,13.55,0.306,11.63065417
0,0.091916667,13.55,0.306,11.63065417
0,0.091916667,13.52,0.306,11.63065417
0.007,0.091916667,13.09,0.309,11.63065417
0,0.091916667,12.63,0.312,11.63065417
0,0.015,12.23,0.318,11.63065417
0,0.015,8.94,0.324,11.63065417
0,0.015,11.29,0.3285,11.63065417
0.033,0.015,10.54,0.33,11.63065417
0,0.076916667,8.83,0.3345,11.63065417
0,0.076916667,7.58,0.336,11.63065417
0.82,0.076916667,8.8,0.342,11.63065417
0.04,0.076916667,11.98,0.339,11.63065417
0,0.076916667,11.88,0.336,11.63065417
0,0.076916667,13.41,0.336,11.63065417
0,0.076916667,15.48,0.336,11.63065417
0,0.015,15.99,0.33,11.63065417
0.12,0.015,16.5,0.3255,11.63065417
0,0.015,16.37,0.324,11.63065417
0.033,0.015,16.89,0.324,11.63065417
0.107,0.015,15.77,0.33,11.63065417
0,0.015,17.18,0.35575,11.63065417
0,0.015,16.54,0.38225,11.63065417
0,0.015,15.7,0.4805,11.63065417
0,0.015,13.85,0.629,11.63065417
0,0.015,12.57,0.661,11.63065417
0,0.015,11.9,0.64225,11.63065417
0,0.015,11.43,0.61,11.63065417
0,0.015,11.15,0.5825,11.63065417
0,0.076916667,9.48,0.56425,11.63065417
0.033,0.076916667,6.203,0.52125,11.63065417
0,0.076916667,8.59,0.4815,11.63065417
0,0.076916667,8.07,0.4605,11.63065417
0,0.053583333,8.03,0.44925,11.63065417
0.34,0.053583333,9.53,0.437,11.63065417
0.58,0.053583333,9.49,0.43075,11.63065417
0,0.053583333,9.48,0.41775,11.63065417
0,0.053583333,9.9,0.4095,11.63065417
